Station id,Baseline Tree depth,Baseline Min samples split,Baseline Min samples leaf,Baseline Feature ratio,Modified Tree depth,Modified Min samples split,Modified Min samples leaf,Modified Feature ratio
2152100,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
2177000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2202600,5,4,1,0.6931595360241993,5,6,2,0.5060088760622651
2212600,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
2221525,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
2231000,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
2231342,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
2245500,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
2246000,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
2296500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2297155,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
2297310,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2298123,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2298608,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2299950,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
2300700,5,4,1,0.6931595360241993,7,3,2,0.6353094161003328
2312200,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
2314500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2315500,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
2324400,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2327100,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2349900,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
2361000,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
2369800,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
2371500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2372250,5,2,3,0.5282532043662949,5,6,2,0.5060088760622651
2374500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2381600,5,4,1,0.6931595360241993,5,6,2,0.5060088760622651
2422500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2450250,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
2430085,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
2464000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
2465493,5,2,3,0.5282532043662949,8,7,2,0.6265998724541788
2469800,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
2472000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
